Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Management,Chrome 121.0.0.0,,,29-01-2024 23:48:34,29-01-2024 23:57:15,8m - 40.190s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_001_Access Admin Menu,Chrome 121.0.0.0,,login,29-01-2024 23:48:35,29-01-2024 23:49:38,1m - 2.824s,PASSED
"callTestCase(findTestCase(""Login/Login Valid Admin""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:48:37,29-01-2024 23:49:34,57.483s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Admin""))",Chrome 121.0.0.0,,,29-01-2024 23:49:34,29-01-2024 23:49:36,1.957s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/h5_System Users""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:49:36,29-01-2024 23:49:38,2.093s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_002_Add New User,Chrome 121.0.0.0,,Jan,29-01-2024 23:51:19,29-01-2024 23:51:55,36.036s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_001_Access Admin Menu""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:51:19,29-01-2024 23:51:39,19.839s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/button_Add_User""))",Chrome 121.0.0.0,,,29-01-2024 23:51:39,29-01-2024 23:51:41,2.234s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/Add User/h6_Add User""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:51:41,29-01-2024 23:51:42,1.280s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/dropdown_role""))",Chrome 121.0.0.0,,,29-01-2024 23:51:42,29-01-2024 23:51:43,0.782s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Admin""))",Chrome 121.0.0.0,,,29-01-2024 23:51:43,29-01-2024 23:51:44,0.739s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/dropdown_status""))",Chrome 121.0.0.0,,,29-01-2024 23:51:44,29-01-2024 23:51:45,0.835s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Enabled""))",Chrome 121.0.0.0,,,29-01-2024 23:51:45,29-01-2024 23:51:46,0.761s,PASSED
"setText(findTestObject(""Admin_Menu/User_Management/Users/Add User/input_employee_name""), EMPLOYEE_NAME)",Chrome 121.0.0.0,,,29-01-2024 23:51:46,29-01-2024 23:51:47,1.150s,PASSED
"verifyElementVisible(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Odis  Adalwin""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:51:47,29-01-2024 23:51:47,0.602s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Odis  Adalwin""))",Chrome 121.0.0.0,,,29-01-2024 23:51:47,29-01-2024 23:51:49,1.456s,PASSED
"setText(findTestObject(""Admin_Menu/User_Management/Users/Add User/input_Username_oxd-input oxd-input--focus""), USERNAME)",Chrome 121.0.0.0,,,29-01-2024 23:51:49,29-01-2024 23:51:50,1.009s,PASSED
"setEncryptedText(findTestObject(""Admin_Menu/User_Management/Users/Add User/input_Password_oxd-input oxd-input--focus""), PASSWORD)",Chrome 121.0.0.0,,,29-01-2024 23:51:50,29-01-2024 23:51:51,0.776s,PASSED
"setEncryptedText(findTestObject(""Admin_Menu/User_Management/Users/Add User/input_Confirm Password_oxd-input oxd-input--focus""), PASSWORD)",Chrome 121.0.0.0,,,29-01-2024 23:51:51,29-01-2024 23:51:52,1.100s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/button_Save""))",Chrome 121.0.0.0,,,29-01-2024 23:51:52,29-01-2024 23:51:52,0.756s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/Add User/popup_SuccessSuccessfully Saved""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:51:52,29-01-2024 23:51:55,2.597s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_003_Search User,Chrome 121.0.0.0,,Jan,29-01-2024 23:51:55,29-01-2024 23:52:29,33.938s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_001_Access Admin Menu""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:51:56,29-01-2024 23:52:21,24.422s,PASSED
"sendKeys(findTestObject(""Admin_Menu/User_Management/Users/input_Username""), USERNAME)",Chrome 121.0.0.0,,,29-01-2024 23:52:21,29-01-2024 23:52:22,1.232s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/dropdown_user_role""))",Chrome 121.0.0.0,,,29-01-2024 23:52:22,29-01-2024 23:52:23,0.837s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/span_Admin""))",Chrome 121.0.0.0,,,29-01-2024 23:52:23,29-01-2024 23:52:23,0.777s,PASSED
"sendKeys(findTestObject(""Admin_Menu/User_Management/Users/input_Employee_Name""), EMPLOYEE_NAME)",Chrome 121.0.0.0,,,29-01-2024 23:52:23,29-01-2024 23:52:24,0.908s,PASSED
"verifyElementVisible(findTestObject(""Admin_Menu/User_Management/Users/span_Odis  Adalwin""))",Chrome 121.0.0.0,,,29-01-2024 23:52:24,29-01-2024 23:52:26,1.892s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/span_Odis  Adalwin""))",Chrome 121.0.0.0,,,29-01-2024 23:52:26,29-01-2024 23:52:27,0.861s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/dropdown_status""))",Chrome 121.0.0.0,,,29-01-2024 23:52:27,29-01-2024 23:52:28,0.645s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/span_Enabled""))",Chrome 121.0.0.0,,,29-01-2024 23:52:28,29-01-2024 23:52:28,0.639s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/button_Search""))",Chrome 121.0.0.0,,,29-01-2024 23:52:28,29-01-2024 23:52:29,0.688s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_004_Ensure User Search,Chrome 121.0.0.0,,Jan,29-01-2024 23:52:29,29-01-2024 23:53:06,37.151s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_003_Search User""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:52:30,29-01-2024 23:53:03,33.236s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_John Doe""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:03,29-01-2024 23:53:04,1.119s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_Admin""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:04,29-01-2024 23:53:05,0.721s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_Odis Adalwin""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:05,29-01-2024 23:53:05,0.717s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_Enabled""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:05,29-01-2024 23:53:06,0.750s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_005_Ensure Data Edit User,Chrome 121.0.0.0,,Jan,29-01-2024 23:53:06,29-01-2024 23:53:42,35.602s,PASSED
