Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
uji,Chrome 121.0.0.0,,,01-02-2024 21:18:03,01-02-2024 21:19:48,1m - 45.686s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_002_Add New User,Chrome 121.0.0.0,,Jan,01-02-2024 21:18:03,01-02-2024 21:19:48,1m - 45.232s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_001_Access Admin Menu""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,01-02-2024 21:18:04,01-02-2024 21:18:33,29.296s,PASSED
"click(findTestObject(""Admin Menu/User Management/Users/button_Add_User""))",Chrome 121.0.0.0,,,01-02-2024 21:18:33,01-02-2024 21:18:34,1.256s,PASSED
"verifyElementPresent(findTestObject(""Admin Menu/User Management/Users/Add User/h6_Add User""), 0)",Chrome 121.0.0.0,,,01-02-2024 21:18:34,01-02-2024 21:18:36,1.049s,PASSED
"click(findTestObject(""Admin Menu/User Management/Users/Add User/dropdown_Roles""))",Chrome 121.0.0.0,,,01-02-2024 21:18:36,01-02-2024 21:19:07,31.913s,PASSED
"click(findTestObject(""Admin Menu/User Management/Users/Add User/div_Admin""))",Chrome 121.0.0.0,,,01-02-2024 21:19:07,01-02-2024 21:19:08,0.537s,PASSED
"click(findTestObject(""Admin Menu/User Management/Users/Add User/dropdown_Statuses""))",Chrome 121.0.0.0,,,01-02-2024 21:19:08,01-02-2024 21:19:09,0.591s,PASSED
"click(findTestObject(""Admin Menu/User Management/Users/Add User/div_Enabled""))",Chrome 121.0.0.0,,,01-02-2024 21:19:09,01-02-2024 21:19:09,0.664s,PASSED
"setText(findTestObject(""Admin Menu/User Management/Users/Add User/input_Employee_Name""), EMPLOYEE_NAME)",Chrome 121.0.0.0,,,01-02-2024 21:19:09,01-02-2024 21:19:10,0.950s,PASSED
"waitForElementVisible(findTestObject(""Admin Menu/User Management/Users/div_Odis Adalwin""), 5)",Chrome 121.0.0.0,,,01-02-2024 21:19:10,01-02-2024 21:19:21,10.575s,PASSED
"verifyElementVisible(findTestObject(""Admin Menu/User Management/Users/Add User/div_Employee Name""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,01-02-2024 21:19:21,01-02-2024 21:19:39,18.681s,PASSED
"click(findTestObject(""Admin Menu/User Management/Users/Add User/div_Employee Name""))",Chrome 121.0.0.0,,,01-02-2024 21:19:39,01-02-2024 21:19:41,1.274s,PASSED
"setText(findTestObject(""Admin Menu/User Management/Users/Add User/input_Username""), USERNAME)",Chrome 121.0.0.0,,,01-02-2024 21:19:41,01-02-2024 21:19:42,1.016s,PASSED
"setText(findTestObject(""Admin Menu/User Management/Users/Add User/input_Password""), PASSWORD)",Chrome 121.0.0.0,,,01-02-2024 21:19:42,01-02-2024 21:19:43,1.529s,PASSED
"setText(findTestObject(""Admin Menu/User Management/Users/Add User/input_Confirm Password""), PASSWORD)",Chrome 121.0.0.0,,,01-02-2024 21:19:43,01-02-2024 21:19:45,1.572s,PASSED
"click(findTestObject(""Admin Menu/User Management/Users/Add User/button_Save""))",Chrome 121.0.0.0,,,01-02-2024 21:19:45,01-02-2024 21:19:45,0.619s,PASSED
"verifyElementPresent(findTestObject(""Admin Menu/User Management/Users/Add User/popup_SuccessSuccessfully Saved""), 0)",Chrome 121.0.0.0,,,01-02-2024 21:19:45,01-02-2024 21:19:48,2.769s,PASSED
