Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Admin User,Chrome 121.0.0.0,,,06-02-2024 00:13:50,06-02-2024 00:18:40,4m - 49.991s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_001_Access Admin Menu,Chrome 121.0.0.0,,login,06-02-2024 00:13:50,06-02-2024 00:14:20,29.382s,PASSED
sample.Login.loginGlobalVariable(),Chrome 121.0.0.0,,,06-02-2024 00:13:52,06-02-2024 00:14:10,18.443s,PASSED
sample.Admin.accessAdminMenu(),Chrome 121.0.0.0,,,06-02-2024 00:14:10,06-02-2024 00:14:17,6.622s,PASSED
"waitForElementPresent(findTestObject(""Admin Menu/User Management/h5_System Users""), 5)",Chrome 121.0.0.0,,,06-02-2024 00:14:17,06-02-2024 00:14:17,0.414s,PASSED
"takeFullPageScreenshotAsCheckpoint(""admin page"")",Chrome 121.0.0.0,,,06-02-2024 00:14:17,06-02-2024 00:14:20,2.604s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_002_Add New User,Chrome 121.0.0.0,,,06-02-2024 00:14:20,06-02-2024 00:15:00,39.548s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_001_Access Admin Menu""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,06-02-2024 00:14:21,06-02-2024 00:14:42,21.356s,PASSED
"sample.Admin.addNewUser(Employee_Name, Username, PASSWORD, Role_Admin, Status_Enable)",Chrome 121.0.0.0,,,06-02-2024 00:14:42,06-02-2024 00:15:00,17.621s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_003_Search User By Username,Chrome 121.0.0.0,,Jan,06-02-2024 00:15:00,06-02-2024 00:15:32,32.506s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_001_Access Admin Menu""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,06-02-2024 00:15:00,06-02-2024 00:15:24,23.879s,PASSED
sample.Admin.searchUserByUsername(Username),Chrome 121.0.0.0,,,06-02-2024 00:15:24,06-02-2024 00:15:31,7.051s,PASSED
"takeFullPageScreenshotAsCheckpoint(""search user"")",Chrome 121.0.0.0,,,06-02-2024 00:15:31,06-02-2024 00:15:32,0.758s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_004_Edit User Without Change Password,Chrome 121.0.0.0,,Jan,06-02-2024 00:15:32,06-02-2024 00:16:20,48.368s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_003_Search User By Username""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,06-02-2024 00:15:33,06-02-2024 00:16:04,31.001s,PASSED
"sample.Admin.editUser(Role_ESS, Status_Disable, Update_Employee_Name, Update_Username, null)",Chrome 121.0.0.0,,,06-02-2024 00:16:04,06-02-2024 00:16:20,16.733s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_005_Edit User WIth Change Password,Chrome 121.0.0.0,,Feb,06-02-2024 00:16:55,06-02-2024 00:17:35,40.167s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_001_Access Admin Menu""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,06-02-2024 00:16:55,06-02-2024 00:17:15,20.768s,PASSED
sample.Admin.searchUserByUsername(Update_Username),Chrome 121.0.0.0,,,06-02-2024 00:17:15,06-02-2024 00:17:22,6.905s,PASSED
"sample.Admin.editUser(Role_Admin, Status_Disable, Update_Employee_Name, Update_Username, PASSWORD)",Chrome 121.0.0.0,,,06-02-2024 00:17:22,06-02-2024 00:17:35,12.432s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_006_Delete User,Chrome 121.0.0.0,,Jan,06-02-2024 00:17:35,06-02-2024 00:18:40,1m - 5.085s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_001_Access Admin Menu""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,06-02-2024 00:17:35,06-02-2024 00:17:58,22.626s,PASSED
sample.Admin.deleteUser(Update_Username),Chrome 121.0.0.0,,,06-02-2024 00:17:58,06-02-2024 00:18:40,41.817s,PASSED
