Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_001_Login,Edge Chromium 123,,,05-03-2024 23:28:03,05-03-2024 23:29:14,1m - 11.570s,PASSED
,,,,,,,
Test Cases/Features/Login/TC_Login_001_Valid Admin,Edge Chromium 123,,login,05-03-2024 23:28:03,05-03-2024 23:28:38,34.670s,PASSED
features.Login.loginGlobalVariable(),Edge Chromium 123,,,05-03-2024 23:28:04,05-03-2024 23:28:38,33.534s,PASSED
,,,,,,,
Test Cases/Features/Login/TC_Login_002_Invalid Credentials,Edge Chromium 123,,,05-03-2024 23:28:38,05-03-2024 23:28:51,12.934s,PASSED
"features.Login.login(BASE_URL, ""random user"", ""random pass"")",Edge Chromium 123,,,05-03-2024 23:28:39,05-03-2024 23:28:49,10.504s,PASSED
"verifyElementVisible(findTestObject(""Login Page/div_Error Invalid Credential""))",Edge Chromium 123,,,05-03-2024 23:28:49,05-03-2024 23:28:51,1.936s,PASSED
,,,,,,,
Test Cases/Features/Login/TC_Login_003_WIthout Password,Edge Chromium 123,,,05-03-2024 23:28:52,05-03-2024 23:29:02,10.897s,PASSED
"features.Login.login(BASE_URL, G_USERNAME, """")",Edge Chromium 123,,,05-03-2024 23:28:52,05-03-2024 23:29:02,9.738s,PASSED
"verifyElementPresent(findTestObject(""Login Page/span_Required""), DELAY_TIME)",Edge Chromium 123,,,05-03-2024 23:29:02,05-03-2024 23:29:02,0.657s,PASSED
,,,,,,,
Test Cases/Features/Login/TC_Login_004_Without Username,Edge Chromium 123,,,05-03-2024 23:29:02,05-03-2024 23:29:14,11.791s,PASSED
"features.Login.login(BASE_URL, """", PASSWORD)",Edge Chromium 123,,,05-03-2024 23:29:03,05-03-2024 23:29:14,10.337s,PASSED
"verifyElementPresent(findTestObject(""Login Page/span_Required""), DELAY_TIME)",Edge Chromium 123,,,05-03-2024 23:29:14,05-03-2024 23:29:14,0.642s,PASSED
